标题,项目,用户,状态,截止,完成时间,URL
Task 241 zSTLAcD6,Project PRJ_184_TI9,user_432_fClRm,待处理 / To Do,2026-01-16T09:23:47.742992+00:00,,
Task 242 cPPdJTxb,Project PRJ_57_CU7,user_35_N41e4,待处理 / To Do,2026-01-16T09:23:47.743000+00:00,,
Task 243 08ScyA2g,Project PRJ_83_JB5,user_222_w0AkK,待处理 / To Do,2026-01-26T09:23:47.743007+00:00,,
Task 244 fgPlwUvY,Project PRJ_111_HJT,user_324_wjCct,待处理 / To Do,2026-01-03T09:23:47.743015+00:00,,
Task 245 UJJHYRC0,Project PRJ_181_F4G,user_995_swNWt,待处理 / To Do,2025-12-28T09:23:47.743023+00:00,,
Task 246 gQNk6qzw,Project PRJ_17_WC7,user_223_czChI,待处理 / To Do,2026-01-21T09:23:47.743030+00:00,,
Task 247 CpaE5PWS,Project PRJ_120_Q7K,user_179_wgwSM,阻塞中 / Blocked,2026-01-26T09:23:47.743038+00:00,,
Task 248 w16r3Whx,这是一个项目名称,user_608_GK2pU,待处理 / To Do,2026-01-07T09:23:47.743046+00:00,,
Task 249 etdBEx4N,Project PRJ_66_9OF,user_659_UaVNK,待处理 / To Do,2026-01-05T09:23:47.743053+00:00,,
Task 250 1qv1rGQw,Project PRJ_48_OFT,user_403_4BPwj,已完成 / Done,2026-01-10T09:23:47.743061+00:00,,
Task 251 N5FDSZAh,Project PRJ_30_MSQ,user_869_Xb7HT,待处理 / To Do,2026-01-05T09:23:47.743068+00:00,,
Task 252 akVjBSvl,Project PRJ_37_W9S,user_863_jplW2,待处理 / To Do,2026-01-09T09:23:47.743076+00:00,,
Task 254 480G12u0,Project PRJ_33_SR0,user_769_p4DUf,待处理 / To Do,2026-01-11T09:23:47.743091+00:00,,
Task 255 A1cJPpUN,Project PRJ_121_DJC,user_19_A5uAG,待处理 / To Do,2026-01-14T09:23:47.743099+00:00,,
Task 256 xmeO4sa7,Project PRJ_134_YNF,user_688_HMNbq,待处理 / To Do,2026-01-19T09:23:47.743106+00:00,,
Task 257 mxswzFsU,Project PRJ_141_T4V,user_603_W8y0y,待处理 / To Do,2026-01-02T09:23:47.743114+00:00,,
Task 258 4NRGpqVj,Project PRJ_91_NKO,user_847_lH7AV,待处理 / To Do,2026-01-03T09:23:47.743122+00:00,,
Task 259 JDOTdq3I,Project PRJ_103_M7T,user_860_9vCcl,待处理 / To Do,2026-01-22T09:23:47.743129+00:00,,
Task 261 BIHCIpJ0,Project PRJ_24_4Z0,user_706_f8hQh,待处理 / To Do,2026-01-09T09:23:47.743144+00:00,,
Task 262 71myBopR,Project PRJ_0_9CW,user_835_hVkuo,已完成 / Done,2026-01-16T09:23:47.743151+00:00,,
Task 263 3OiRFBVj,Project PRJ_94_AS8,user_636_sRIqY,待处理 / To Do,2026-01-11T09:23:47.743159+00:00,,
Task 264 faovL46I,Project PRJ_95_L1G,user_100_qLGk0,待处理 / To Do,2025-12-25T09:23:47.743166+00:00,,
Task 265 ChClp7TF,Project PRJ_190_EII,user_887_cddq4,已完成 / Done,2026-01-20T09:23:47.743173+00:00,,
Task 267 Aitw3OPc,Project PRJ_54_HM5,user_85_OOTiH,阻塞中 / Blocked,2026-01-24T09:23:47.743188+00:00,,
Task 268 V5vfKnoU,Project PRJ_69_MXR,user_883_kbcsk,待处理 / To Do,2026-01-26T09:23:47.743196+00:00,,
Task 269 EeccVsrB,项目三(3)55555,user_274_Ja9zz,已完成 / Done,2026-01-24T09:23:47.743203+00:00,,
Task 270 x90iVtov,Project PRJ_175_NJK,user_769_p4DUf,待处理 / To Do,2026-01-18T09:23:47.743210+00:00,,
Task 271 dqDvyJwC,Project PRJ_182_MGE,user_669_WqRdf,待处理 / To Do,2026-01-18T09:23:47.743218+00:00,,
Task 272 QURsETvE,Project PRJ_4_NHA,user_206_VqFNA,待处理 / To Do,2026-01-08T09:23:47.743225+00:00,,
Task 273 MlfG2PFa,Project PRJ_120_Q7K,user_882_0hY7M,待处理 / To Do,2026-01-08T09:23:47.743234+00:00,,
Task 274 UrWfZWlp,Project PRJ_112_EF0,user_881_7WRwV,待处理 / To Do,2026-01-19T09:23:47.743241+00:00,,
Task 275 bFEEAvTX,Project PRJ_42_W0P,user_339_O1faQ,待处理 / To Do,2026-01-11T09:23:47.743248+00:00,,
Task 276 B7F0iwQf,Project PRJ_173_US2,user_523_1GwgZ,待处理 / To Do,2026-01-10T09:23:47.743256+00:00,,
Task 277 m9rEbYSQ,Project PRJ_82_YNP,user_53_jNbYG,待处理 / To Do,2026-01-22T09:23:47.743263+00:00,,
Task 278 ZmqxtB3Z,Project PRJ_73_IBI,user_669_WqRdf,已完成 / Done,2026-01-28T09:23:47.743270+00:00,,
Task 279 ORSilsui,Project PRJ_32_CHI,user_631_3xT4k,待处理 / To Do,2026-01-14T09:23:47.743277+00:00,,
Task 280 jVgR59vf,Project PRJ_179_NCO,user_549_iVWQy,待处理 / To Do,2026-01-03T09:23:47.743285+00:00,,
Task 281 PvS3lGhQ,Project PRJ_61_PKV,user_643_NPoqb,待处理 / To Do,2026-01-22T09:23:47.743293+00:00,,
Task 282 JdmhUGn1,Project PRJ_159_MZ5,user_708_xjUdh,待处理 / To Do,2026-01-09T09:23:47.743300+00:00,,
Task 283 U9axPmXV,Project PRJ_144_JTI,user_899_fAGce,待处理 / To Do,2026-01-11T09:23:47.743307+00:00,,
Task 284 t3KvQ8cd,Project PRJ_0_9CW,user_51_qAg45,待处理 / To Do,2026-01-25T09:23:47.743315+00:00,,
Task 285 IyVgACwS,Project PRJ_184_TI9,user_758_7wxo1,待处理 / To Do,2026-01-16T09:23:47.743322+00:00,,
Task 286 gIOKH4nr,Project PRJ_150_MCO,user_893_lJTVR,待处理 / To Do,2026-01-08T09:23:47.743329+00:00,,
Task 287 Wh097Vv4,Project PRJ_60_YMQ,user_582_nND4L,待处理 / To Do,2026-01-14T09:23:47.743337+00:00,,
Task 288 A58gsCZF,Project PRJ_151_JNR,user_342_hqj4y,待处理 / To Do,2026-01-19T09:23:47.743344+00:00,,
Task 289 Q8hroTHX,Project PRJ_64_VKR,user_333_kewrS,待处理 / To Do,2026-01-03T09:23:47.743351+00:00,,
Task 291 vbqDEKRq,Project PRJ_156_OXB,user_979_yOCwj,待处理 / To Do,2026-01-06T09:23:47.743366+00:00,,
Task 292 dfIIPNWJ,Project PRJ_141_T4V,user_394_bqIrf,已完成 / Done,2026-01-04T09:23:47.743374+00:00,,
Task 293 SFuPAdra,Project PRJ_180_MBQ,user_702_MN4DW,已完成 / Done,2026-01-17T09:23:47.743381+00:00,,
Task 295 UPvHzg4X,Project PRJ_139_5MM,user_100_qLGk0,待处理 / To Do,2026-01-15T09:23:47.743396+00:00,,
Task 296 wks5qkNW,Project PRJ_57_CU7,user_652_163ad,待处理 / To Do,2026-01-24T09:23:47.743403+00:00,,
Task 297 QZpZQ225,Project PRJ_192_AV2,user_646_noYaR,待处理 / To Do,2026-01-21T09:23:47.743410+00:00,,
Task 298 demhwXXQ,Project PRJ_14_7K9,user_137_RBHV2,待处理 / To Do,2026-01-16T09:23:47.743417+00:00,,
Task 299 C5U96nxf,Project PRJ_29_W9W,user_970_NKlF9,已完成 / Done,2026-01-11T09:23:47.743424+00:00,,
Task 300 T41uMoJO,Project PRJ_88_5S0,user_490_R2rPY,待处理 / To Do,2026-01-11T09:23:47.743432+00:00,,
Task 301 lqYGgHn9,Project PRJ_120_Q7K,user_518_OP1dF,待处理 / To Do,2026-01-11T09:23:47.743440+00:00,,
Task 302 iundOfQh,Project PRJ_76_NK7,user_976_cOMUA,待处理 / To Do,2026-01-04T09:23:47.743448+00:00,,
Task 303 bNnaizuq,Project PRJ_65_ARP,user_134_cyKwU,待处理 / To Do,2026-01-06T09:23:47.743455+00:00,,
Task 304 vHx1eMxb,Project PRJ_142_IIK,user_423_lvopY,待处理 / To Do,2026-01-21T09:23:47.743463+00:00,,
Task 305 Ra4Omkvy,Project PRJ_175_NJK,user_604_gQCLf,待处理 / To Do,2026-01-08T09:23:47.743472+00:00,,
Task 306 hRa5AbWN,Project PRJ_14_7K9,user_75_kfYSW,待处理 / To Do,2026-01-06T09:23:47.743481+00:00,,
Task 307 1gBpaSTT,Project PRJ_153_ZIU,user_815_QDgkW,待处理 / To Do,2026-01-09T09:23:47.743491+00:00,,
Task 308 O5UXmcxC,Project PRJ_107_RYE,user_284_bCLAp,待处理 / To Do,2026-01-11T09:23:47.743502+00:00,,
Task 309 c798HW1Y,Project PRJ_1_YOT,user_37_RR1iW,待处理 / To Do,2026-01-17T09:23:47.743511+00:00,,
Task 310 ugKMDftX,Project PRJ_184_TI9,user_247_Br1X2,待处理 / To Do,2026-01-18T09:23:47.743520+00:00,,
Task 311 TKuklka6,Project PRJ_143_QL6,user_761_OYg0W,待处理 / To Do,2026-01-03T09:23:47.743528+00:00,,
Task 312 4hZgF1bX,Project PRJ_10_NWR,user_592_bw4ge,进行中 / In Progress,2026-01-28T09:23:47.743536+00:00,,
Task 313 fOgiyvem,Project PRJ_44_VWS,user_899_fAGce,待处理 / To Do,2026-01-15T09:23:47.743544+00:00,,
Task 314 Oa9N9AeU,Project PRJ_144_JTI,user_489_ww6hL,待处理 / To Do,2026-01-07T09:23:47.743552+00:00,,
Task 315 vzAoGbJ9,Project PRJ_194_OSL,user_403_4BPwj,待处理 / To Do,2026-01-18T09:23:47.743561+00:00,,
Task 316 okHLR0E8,Project PRJ_174_VYL,user_866_a6lHj,待处理 / To Do,2026-01-17T09:23:47.743569+00:00,,
Task 318 CqVTI6SK,Project PRJ_99_FZP,user_376_suv1d,待处理 / To Do,2026-01-03T09:23:47.743586+00:00,,
Task 319 4lj3tlBG,Project PRJ_44_VWS,user_25_8DjZf,待处理 / To Do,2026-01-27T09:23:47.743594+00:00,,
Task 320 ufwkaydY,Project PRJ_26_PTN,user_812_PM8tJ,待处理 / To Do,2026-01-19T09:23:47.743603+00:00,,
Task 321 2yjnxevj,Project PRJ_196_SI5,user_149_9plB1,待处理 / To Do,2026-01-15T09:23:47.743611+00:00,,
Task 322 lLyueowQ,Project PRJ_30_MSQ,user_651_521zd,已完成 / Done,2026-01-23T09:23:47.743619+00:00,,
Task 323 CdPtDWXf,Project PRJ_6_NXT,user_483_iqe8V,待处理 / To Do,2026-01-05T09:23:47.743628+00:00,,
Task 324 kofZuBJb,Project PRJ_179_NCO,user_592_bw4ge,待处理 / To Do,2026-01-23T09:23:47.743636+00:00,,
Task 325 uwDFfJdB,Project PRJ_192_AV2,user_212_MH0lT,待处理 / To Do,2026-01-17T09:23:47.743644+00:00,,
Task 326 WTjnOGlW,Project PRJ_73_IBI,user_158_moEmj,待处理 / To Do,2026-01-20T09:23:47.743652+00:00,,
Task 327 hnWyWTsJ,Project PRJ_12_HFK,user_182_yvN60,待处理 / To Do,2026-01-06T09:23:47.743660+00:00,,
Task 328 xQVgBvKf,Project PRJ_170_6Y7,user_524_oVVHe,已完成 / Done,2026-01-25T09:23:47.743669+00:00,,
Task 329 FJJcUsdJ,Project PRJ_3_YJD,user_333_kewrS,待处理 / To Do,2026-01-12T09:23:47.743677+00:00,,
Task 330 Gk4Lv7re,Project PRJ_11_CAD,user_263_1MOjt,已完成 / Done,2026-01-21T09:23:47.743686+00:00,,
Task 331 Nz0MyZv7,Project PRJ_135_CGN,user_398_GGOLk,阻塞中 / Blocked,2026-01-26T09:23:47.743694+00:00,,
Task 332 n8Qjt0bE,Project PRJ_72_B2E,user_235_Hv15v,已完成 / Done,2026-01-06T09:23:47.743703+00:00,,
Task 333 Gtb8iO5j,项目一 6666,user_265_rnwoM,待处理 / To Do,2026-01-16T09:23:47.743711+00:00,,
Task 335 5LFZRTe6,Project PRJ_8_QQD,user_923_y5R4V,已完成 / Done,2026-01-28T09:23:47.743727+00:00,,
Task 336 tKMd0ITy,Project PRJ_152_N4S,user_486_NGEMb,待处理 / To Do,2026-01-11T09:23:47.743736+00:00,,
Task 337 UNfN33YQ,Project PRJ_16_IZT,user_399_yrlQr,待处理 / To Do,2026-01-17T09:23:47.743744+00:00,,
Task 338 N4xoTABn,Project PRJ_178_KUH,user_187_TUa7d,待处理 / To Do,2026-01-18T09:23:47.743752+00:00,,
Task 339 8hY9zlmt,Project PRJ_55_VOJ,user_781_WbdNP,待处理 / To Do,2026-01-05T09:23:47.743761+00:00,,
Task 340 Hv2gm8sz,Project PRJ_155_JDO,user_409_Zkjp9,待处理 / To Do,2026-01-14T09:23:47.743769+00:00,,
Task 341 tGLSqbtT,Project PRJ_90_I9M,user_681_mRDbm,待处理 / To Do,2026-01-12T09:23:47.743777+00:00,,
Task 342 avE7Cha5,Project PRJ_172_0Z8,user_611_YpYiS,待处理 / To Do,2026-01-19T09:23:47.743785+00:00,,
Task 343 1qhqrENI,Project PRJ_34_K3O,user_495_AFGjV,待处理 / To Do,2025-12-29T09:23:47.743793+00:00,,
Task 344 UfhiHRQl,Project PRJ_75_CIT,user_655_a4TOf,待处理 / To Do,2026-01-07T09:23:47.743800+00:00,,
Task 345 xILhA7tb,Project PRJ_93_K6A,user_821_7TFfj,已完成 / Done,2026-01-14T09:23:47.743807+00:00,,
Task 346 eTkq7ecM,Project PRJ_31_OCV,user_239_4B9tm,已完成 / Done,2026-01-28T09:23:47.743814+00:00,,
Task 347 KRAMWQzH,Project PRJ_188_94L,user_476_6NmpP,已完成 / Done,2026-01-24T09:23:47.743821+00:00,,
Task 348 76jvXuN7,Project PRJ_55_VOJ,user_283_WYwrS,待处理 / To Do,2026-01-14T09:23:47.743828+00:00,,
Task 349 TDx9kpiH,项目一 6666,user_183_zY0rG,已完成 / Done,2026-01-13T09:23:47.743835+00:00,,
Task 350 xKdynC7P,Project PRJ_58_DVX,user_645_h8v9G,待处理 / To Do,2026-01-13T09:23:47.743843+00:00,,
Task 351 4xiH7peF,这是一个项目名称,user_570_i4HzF,待处理 / To Do,2026-01-14T09:23:47.743850+00:00,,
Task 352 jPzfCOdG,Project PRJ_120_Q7K,user_853_nfUAs,待处理 / To Do,2026-01-09T09:23:47.743857+00:00,,
Task 354 lxhKeD9N,Project PRJ_89_LKK,user_582_nND4L,待处理 / To Do,2026-01-02T09:23:47.743872+00:00,,
Task 355 6MEUSRkj,Project PRJ_185_HL1,user_494_UeaQz,待处理 / To Do,2026-01-20T09:23:47.743879+00:00,,
Task 356 kLlz4TdU,Project PRJ_7_ZL8,user_362_in8Ww,已完成 / Done,2026-01-22T09:23:47.743887+00:00,,
Task 357 Mt9JaAuq,Project PRJ_146_EJS,user_575_fiQ3s,待处理 / To Do,2026-01-06T09:23:47.743894+00:00,,
Task 358 TcV0jNBj,Project PRJ_104_YJV,user_431_dX4JE,待处理 / To Do,2026-01-18T09:23:47.743902+00:00,,
Task 359 HWkGqVD5,Project PRJ_176_T4O,user_829_we9Q0,待处理 / To Do,2026-01-15T09:23:47.743910+00:00,,
Task 360 ydZ3TDjg,Project PRJ_107_RYE,user_921_CXp9K,待处理 / To Do,2026-01-03T09:23:47.743917+00:00,,
Task 361 nDGU1eGU,项目三(3)55555,user_501_Poh1C,待处理 / To Do,2026-01-03T09:23:47.743927+00:00,,
Task 362 Z96QuBgX,Project PRJ_43_7V9,user_835_hVkuo,待处理 / To Do,2026-01-17T09:23:47.743936+00:00,,
Task 363 r8ldEM0d,Project PRJ_43_7V9,user_65_QZA6d,待处理 / To Do,2026-01-08T09:23:47.743944+00:00,,
Task 364 k7MkvvdE,项目三(3)55555,user_110_xMwA0,已完成 / Done,2026-01-08T09:23:47.743951+00:00,,
Task 365 4V2RW6mL,Project PRJ_39_6GG,user_623_PtZZy,待处理 / To Do,2026-01-09T09:23:47.743960+00:00,,
Task 366 PXP6R0HX,Project PRJ_71_RLH,user_919_teXeS,已完成 / Done,2026-01-20T09:23:47.743968+00:00,,
Task 367 6ONFzgt2,Project PRJ_169_MJY,user_574_zr1uj,待处理 / To Do,2026-01-13T09:23:47.743975+00:00,,
Task 368 QtEI88Cr,Project PRJ_122_FJH,user_600_qpKDn,待处理 / To Do,2026-01-07T09:23:47.743984+00:00,,
Task 369 7sQEUvf8,Project PRJ_90_I9M,user_216_qISXF,待处理 / To Do,2026-01-18T09:23:47.743994+00:00,,
Task 370 swwxf2lV,Project PRJ_99_FZP,user_307_d358S,待处理 / To Do,2025-12-29T09:23:47.744004+00:00,,
Task 371 8BwlhWGA,Project PRJ_28_HAX,user_381_nLbER,待处理 / To Do,2026-01-08T09:23:47.744013+00:00,,
Task 372 FIE6LtGx,Project PRJ_108_OQE,user_301_4xD74,已完成 / Done,2025-12-29T09:23:47.744021+00:00,,
Task 373 kc8ciT1r,Project PRJ_77_HNQ,user_848_h95HO,待处理 / To Do,2026-01-07T09:23:47.744029+00:00,,
Task 374 YhogNLMd,Project PRJ_35_8OV,user_298_NTHLG,阻塞中 / Blocked,2026-01-26T09:23:47.744037+00:00,,
Task 375 u1QiKit8,Project PRJ_59_QL9,user_959_SQS5d,待处理 / To Do,2026-01-18T09:23:47.744045+00:00,,
Task 376 DraYgraC,Project PRJ_113_ZK8,user_213_VSZNb,待处理 / To Do,2026-01-01T09:23:47.744054+00:00,,
Task 377 gzl0vPap,Project PRJ_193_NPX,user_841_mL4uQ,阻塞中 / Blocked,2026-01-24T09:23:47.744062+00:00,,
Task 378 6NDSxqoI,Project PRJ_122_FJH,user_425_x8cp4,已完成 / Done,2026-01-03T09:23:47.744070+00:00,,
Task 380 MIKP7J4v,Project PRJ_180_MBQ,user_442_AMdiw,进行中 / In Progress,2026-01-25T09:23:47.744086+00:00,,
Task 382 GCT4vly7,Project PRJ_171_FV6,user_178_XXmG5,待处理 / To Do,2026-01-01T09:23:47.744103+00:00,,
Task 383 ehsHMXta,Project PRJ_112_EF0,user_958_rryAG,待处理 / To Do,2026-01-08T09:23:47.744111+00:00,,
Task 384 MVsnAE9O,Project PRJ_41_BSG,user_617_UXZUd,阻塞中 / Blocked,2026-01-27T09:23:47.744119+00:00,,
Task 385 mfvFMugQ,Project PRJ_92_KYR,user_790_lTWzT,已完成 / Done,2026-01-10T09:23:47.744133+00:00,,
Task 386 vwWj0B4D,Project PRJ_112_EF0,user_769_p4DUf,待处理 / To Do,2026-01-14T09:23:47.744142+00:00,,
Task 387 5XLxABlC,Project PRJ_165_6KQ,user_848_h95HO,待处理 / To Do,2026-01-10T09:23:47.744151+00:00,,
Task 388 lOJUt8lF,Project PRJ_86_KVK,user_960_N6uox,待处理 / To Do,2026-01-26T09:23:47.744160+00:00,,
Task 389 wpdDDYz6,Project PRJ_75_CIT,user_57_98T5w,已完成 / Done,2026-01-06T09:23:47.744168+00:00,,
Task 390 Z2apz3vx,Project PRJ_63_OLJ,user_74_iI6XR,待处理 / To Do,2026-01-12T09:23:47.744177+00:00,,
Task 391 faXdlR6d,Project PRJ_34_K3O,user_718_T66aa,待处理 / To Do,2026-01-03T09:23:47.744185+00:00,,
Task 392 TatCPJQH,Project PRJ_171_FV6,user_533_kzyWO,待处理 / To Do,2025-12-31T09:23:47.744194+00:00,,
Task 393 oqNmlkN6,Project PRJ_132_FXY,user_613_ztzLt,待处理 / To Do,2026-01-09T09:23:47.744202+00:00,,
Task 394 KvSS37Wc,Project PRJ_177_NVU,user_665_fWrgB,待处理 / To Do,2026-01-04T09:23:47.744210+00:00,,
Task 395 VVSAagEl,Project PRJ_132_FXY,user_326_PGua2,待处理 / To Do,2026-01-23T09:23:47.744218+00:00,,
Task 396 gfBLtLo9,Project PRJ_63_OLJ,user_364_qUtdi,待处理 / To Do,2026-01-24T09:23:47.744226+00:00,,
Task 397 tQmfYVpk,Project PRJ_152_N4S,user_111_vvh3i,待处理 / To Do,2026-01-04T09:23:47.744234+00:00,,
Task 399 DILUk3gY,Project PRJ_191_8YM,user_95_gEmG7,待处理 / To Do,2026-01-03T09:23:47.744251+00:00,,
Task 400 TImdF29p,Project PRJ_88_5S0,user_329_uvRK5,待处理 / To Do,2026-01-16T09:23:47.744259+00:00,,
Task 401 DVTnVHp7,Project PRJ_110_J8D,user_804_xL8tJ,已完成 / Done,2026-01-12T09:23:47.744267+00:00,,
Task 402 C0WsC7y9,Project PRJ_152_N4S,user_590_ZoExp,待处理 / To Do,2026-01-22T09:23:47.744325+00:00,,
Task 403 2UPOrtUb,Project PRJ_171_FV6,user_347_HLbzX,待处理 / To Do,2026-01-12T09:23:47.744334+00:00,,
Task 404 ITqDyvi6,Project PRJ_116_VVB,user_163_MoYJL,待处理 / To Do,2026-01-05T09:23:47.744342+00:00,,
Task 405 zIeqC7Z8,Project PRJ_17_WC7,user_965_HVXLj,待处理 / To Do,2026-01-04T09:23:47.744349+00:00,,
Task 406 aDalET40,Project PRJ_77_HNQ,user_618_1dfOO,待处理 / To Do,2026-01-03T09:23:47.744356+00:00,,
Task 407 m5B1V7LB,Project PRJ_129_ZLN,user_335_39Lj2,待处理 / To Do,2026-01-14T09:23:47.744364+00:00,,
Task 408 qRCFcrL9,Project PRJ_115_8NB,user_606_Bshx4,待处理 / To Do,2026-01-11T09:23:47.744372+00:00,,
Task 409 gkOxtUsF,Project PRJ_31_OCV,user_882_0hY7M,待处理 / To Do,2026-01-09T09:23:47.744379+00:00,,
Task 410 USWFTaKE,Project PRJ_65_ARP,user_683_oTCvs,待处理 / To Do,2026-01-05T09:23:47.744386+00:00,,
Task 411 Iu5vGkLU,Project PRJ_161_9RN,user_249_xwoOG,待处理 / To Do,2026-01-23T09:23:47.744393+00:00,,
Task 413 hOPQq0Ub,Project PRJ_75_CIT,user_376_suv1d,已完成 / Done,2026-01-13T09:23:47.744408+00:00,,
Task 414 B0IZu6Fh,Project PRJ_170_6Y7,user_899_fAGce,已完成 / Done,2026-01-21T09:23:47.744416+00:00,,
Task 415 1JBlKMoJ,Project PRJ_186_QFT,user_407_0H9cS,待处理 / To Do,2025-12-29T09:23:47.744423+00:00,,
Task 416 YHuo6Ma3,Project PRJ_34_K3O,user_54_GBwxb,待处理 / To Do,2025-12-28T09:23:47.744430+00:00,,
Task 417 6CjjeKpq,Project PRJ_26_PTN,user_729_ijKmq,待处理 / To Do,2026-01-14T09:23:47.744437+00:00,,
Task 418 yZvtek0z,Project PRJ_74_QNH,user_341_QGmj8,已完成 / Done,2026-01-06T09:23:47.744445+00:00,,
Task 419 7UTUHvi9,Project PRJ_149_R4D,user_563_DL0bY,待处理 / To Do,2026-01-03T09:23:47.744452+00:00,,
Task 420 sFK03wTR,Project PRJ_159_MZ5,user_381_nLbER,待处理 / To Do,2026-01-12T09:23:47.744459+00:00,,
Task 421 A9QZTTKB,Project PRJ_163_LFK,user_81_lUUqX,已完成 / Done,2026-01-23T09:23:47.744466+00:00,,
Task 422 PfGHVxeL,Project PRJ_24_4Z0,user_529_e11FE,已完成 / Done,2026-01-12T09:23:47.744474+00:00,,
Task 423 bVdUsW0k,Project PRJ_171_FV6,user_499_6gKBo,待处理 / To Do,2026-01-07T09:23:47.744481+00:00,,
Task 424 yBFrTHMd,Project PRJ_173_US2,user_82_5ciSv,待处理 / To Do,2026-01-13T09:23:47.744489+00:00,,
Task 425 MEOLjdvC,Project PRJ_119_OJT,user_768_4RQii,待处理 / To Do,2026-01-07T09:23:47.744496+00:00,,
Task 426 gmFtKY5Q,Project PRJ_96_W0M,user_84_kELm0,已完成 / Done,2026-01-28T09:23:47.744503+00:00,,
Task 427 kXeJD0hT,Project PRJ_66_9OF,user_792_fM07U,待处理 / To Do,2026-01-23T09:23:47.744511+00:00,,
Task 428 zI5fJfux,Project PRJ_70_USE,user_416_QMf5V,待处理 / To Do,2026-01-22T09:23:47.744519+00:00,,
Task 429 jZ65y7ZK,Project PRJ_148_SUC,user_227_23ggt,待处理 / To Do,2026-01-24T09:23:47.744526+00:00,,
Task 430 LEvr10U1,Project PRJ_99_FZP,user_548_r83wf,待处理 / To Do,2026-01-18T09:23:47.744534+00:00,,
Task 431 jCnaCTAs,Project PRJ_82_YNP,user_783_53Rmk,待处理 / To Do,2026-01-14T09:23:47.744541+00:00,,
Task 432 tXTFn8bw,Project PRJ_172_0Z8,user_118_rgW0n,待处理 / To Do,2026-01-26T09:23:47.744548+00:00,,
Task 433 uVXPMRto,Project PRJ_64_VKR,user_797_8mwAo,阻塞中 / Blocked,2026-01-26T09:23:47.744557+00:00,,
Task 434 RrOIOxvx,Project PRJ_45_NCV,user_395_mFTV2,待处理 / To Do,2026-01-21T09:23:47.744566+00:00,,
Task 435 z6ZujTMI,Project PRJ_135_CGN,user_434_MS80p,待处理 / To Do,2025-12-31T09:23:47.744573+00:00,,
Task 436 uYG0qQJL,Project PRJ_85_SDW,user_399_yrlQr,待处理 / To Do,2026-01-24T09:23:47.744581+00:00,,
Task 438 1TE7D3kh,Project PRJ_181_F4G,user_383_jecL5,已完成 / Done,2026-01-21T09:23:47.744595+00:00,,
Task 439 wRHnWMZ9,Project PRJ_15_FJI,user_753_Df6d8,待处理 / To Do,2025-12-30T09:23:47.744603+00:00,,
Task 441 QurutAL0,Project PRJ_52_NLX,user_367_ykxY6,已完成 / Done,2025-12-28T09:23:47.744618+00:00,,
Task 442 MSMSYvpr,Project PRJ_170_6Y7,user_568_UaSAJ,待处理 / To Do,2026-01-15T09:23:47.744625+00:00,,
Task 443 W8YMc9YD,Project PRJ_150_MCO,user_810_zfhcO,待处理 / To Do,2026-01-12T09:23:47.744633+00:00,,
Task 444 9SdMvBZX,Project PRJ_137_P7V,user_304_dUGA7,待处理 / To Do,2026-01-09T09:23:47.744641+00:00,,
Task 447 8jzEG0M1,Project PRJ_151_JNR,user_514_Ur11u,待处理 / To Do,2026-01-15T09:23:47.744663+00:00,,
Task 448 7PLd3gEb,Project PRJ_121_DJC,user_497_8kSbe,待处理 / To Do,2026-01-28T09:23:47.744670+00:00,,
Task 449 86KzhoCn,Project PRJ_147_DEZ,user_626_Ux1Ld,待处理 / To Do,2026-01-12T09:23:47.744678+00:00,,
Task 450 jGhfXQRN,Project PRJ_83_JB5,user_792_fM07U,待处理 / To Do,2026-01-18T09:23:47.744685+00:00,,
Task 451 jNtPViUc,Project PRJ_62_9XT,user_498_5NLIe,待处理 / To Do,2026-01-14T09:23:47.744693+00:00,,
Task 452 ETLir1eq,Project PRJ_170_6Y7,user_713_aKxSF,待处理 / To Do,2026-01-13T09:23:47.744700+00:00,,
Task 453 LvG46Psw,Project PRJ_98_RQM,user_591_sfLiW,已完成 / Done,2026-01-17T09:23:47.744708+00:00,,
Task 454 2tkdPPN7,Project PRJ_6_NXT,user_5_0HaBw,已完成 / Done,2026-01-21T09:23:47.744715+00:00,,
Task 455 hVNnY2ef,Project PRJ_99_FZP,user_134_cyKwU,已完成 / Done,2026-01-20T09:23:47.744723+00:00,,
Task 456 H5XqBzRE,Project PRJ_64_VKR,user_926_4sHgC,待处理 / To Do,2026-01-20T09:23:47.744733+00:00,,
Task 457 KxFgtBvJ,Project PRJ_177_NVU,user_504_tyF2j,待处理 / To Do,2026-01-06T09:23:47.744743+00:00,,
Task 458 CUYrJxsQ,Project PRJ_137_P7V,user_80_WZK30,待处理 / To Do,2026-01-09T09:23:47.744752+00:00,,
Task 460 Yk5h0s5E,Project PRJ_182_MGE,user_786_OZuhE,进行中 / In Progress,2026-01-25T09:23:47.744769+00:00,,
Task 461 tyLzXQyc,Project PRJ_82_YNP,user_498_5NLIe,待处理 / To Do,2026-01-20T09:23:47.744779+00:00,,
Task 462 lSg7wxHj,Project PRJ_112_EF0,user_330_dhyUM,进行中 / In Progress,2026-01-27T09:23:47.744788+00:00,,
Task 463 xSmgqyCm,Project PRJ_44_VWS,user_690_tEcf3,待处理 / To Do,2026-01-20T09:23:47.744797+00:00,,
Task 464 zsFDucWw,Project PRJ_115_8NB,user_242_vAbLy,待处理 / To Do,2026-01-06T09:23:47.744805+00:00,,
